source_row,alias,matched_product_id,matched_product_name,match_type,confidence
19.11.:44,Закл под gx 8,73,Круглая платформа 090мм под светильник,exact,1.0
19.11.:45,Светильники gx белые 8,1292,Светильник GX53 Белый под 90 кольцо,exact,1.0
19.11.:46,Кольцо под gx 8,101,Протекторное кольцо - D 090мм,exact,1.0
19.11.:47,Лампа нейтральная 8,1382,Лампа светодиодная GX53 8W 4000К,exact,1.0
19.11.:49,Кольцо под люстру 2,147,Протекторное кольцо - D 045мм,exact,1.0
19.11.:50,Подвесы 22,1160,Подвес прямой 0.07 * 300мм,exact,1.0
19.11.:51,Ваги 26,1202,Ваго 2х канальные,exact,1.0
19.11.:52,Провод 12м,1178,Кабель/провод ШВВП 2*0.75 ГОСТ,exact,1.0
19.11.:53,Кольцо (10) 4шт,87,Протекторное кольцо - D 010мм,exact,1.0
19.11.:55,Торцевые 4шт,415,Комплект торцевых заглушек ПК14 (на 2 торца профиля) - Белый,exact,1.0
19.11.:56,Вставка в пк 6м,46,"Вставка RU узкая для ПК14, ПК16, АМ1 - Белая",exact,1.0
19.11.:58,Крючки 1уп,1266,ПК/ПФ крючки для гардины + стопор в комплекте,exact,1.0
19.11.:59,Труба (32) 2шт + конусы,242,Обвод трубы пластина D32 L210 толщ. 2.5мм белый,exact,1.0
19.11.:60,Труба (32) 2шт + конусы,256,Заглушка трубы D32 Белый конус,exact,1.0
19.11.:62,"Лента 9,6 10м холодная",1423,"Eleganz LUX 24V Светодиодная лента 2835 120 LED 9,6W 6000К холодная",exact,1.0
19.11.:63,Блок на 100в,1529,"Блок питания черный SWG IP20, PBL-100-24, 100Вт, 24В",exact,1.0
19.11.:64,Пульт на 3 зоны,1455,Пульт Dumlight Ampe RMT-4DTW / MONORT6 - 4 зоны(черный),exact,1.0
19.11.:65,Контроллеры 3шт,1469,"Контроллер Dumlight Ampe CNT-1-8-DIM, 8A-5-36vDC (для одноцветной ленты)",exact,1.0
20.11.:2,Универсальная закладная для светильника 60-120 2шт,71,Круглая универсальная платформа 060-120мм под светильник,exact,1.0
20.11.:3,Термокольцо 120 2шт,108,Протекторное кольцо - D 120мм,exact,1.0
20.11.:4,Клей крокс 1шт,1231,"Клей Kroxx/Крокс ""301"" - 20гр.",exact,1.0
20.11.:5,Платформа из фанеры 120мм по пожарный датчик 5шт,223,Платформа из фанеры 12мм под датчик/спот круг D120мм вырез d30мм,exact,1.0
